GEOIDfake,GEOID,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,TRACTCE,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,White Population Alone,Black Population Alone, Asian Population Alone,American Indian Population,Other Race Population,SE_T006_006,SE_T006_007,SE_T006_008,SE_T006_009,SE_T006_010,SE_T006_011,SE_T006_012
"371830544042","371830544042","371830544042, 37183054404, Wake County, North Carolina","00","37","183","054404","2",,,,614,455,24,16,216,121,639,484,26,17,236,110
"371830544043","371830544043","371830544043, 37183054404, Wake County, North Carolina","00","37","183","054404","3",,,,1055,865,24,19,272,191,1098,920,27,20,298,176
"371830545011","371830545011","371830545011, 37183054501, Wake County, North Carolina","00","37","183","054501","1",,,,1035,119,127,6,14,92,1084,127,140,6,16,85
"371830545012","371830545012","371830545012, 37183054501, Wake County, North Carolina","00","37","183","054501","2",,,,845,553,71,15,221,159,880,588,78,16,242,146
"371830545013","371830545013","371830545013, 37183054501, Wake County, North Carolina","00","37","183","054501","3",,,,420,269,31,11,62,67,437,288,34,12,68,61
"371830545014","371830545014","371830545014, 37183054501, Wake County, North Carolina","00","37","183","054501","4",,,,575,314,81,4,553,170,594,333,89,4,601,155
"371830545021","371830545021","371830545021, 37183054502, Wake County, North Carolina","00","37","183","054502","1",,,,179,335,4,9,176,64,185,354,4,10,192,58
"371830545022","371830545022","371830545022, 37183054502, Wake County, North Carolina","00","37","183","054502","2",,,,276,250,7,2,129,52,285,265,7,2,140,48
"371830545023","371830545023","371830545023, 37183054502, Wake County, North Carolina","00","37","183","054502","3",,,,481,586,9,14,166,49,485,605,10,15,176,43
"371830545024","371830545024","371830545024, 37183054502, Wake County, North Carolina","00","37","183","054502","4",,,,494,375,8,11,185,92,507,392,9,12,200,82
"371839801001","371839801001","371839801001, 37183980100, Wake County, North Carolina","00","37","183","980100","1",,,,0,0,0,0,0,1,0,0,0,0,0,1
"371839802001","371839802001","371839802001, 37183980200, Wake County, North Carolina","00","37","183","980200","1",,,,0,0,0,0,0,0,0,0,0,0,0,0
